,year,type,activity,sex,age,fatal_y_n,time,species,latitude,longitude
0,2023.0,Unprovoked,Surfing,M,Middle-aged Adult,Y,Morning,White shark,-30.5343665,135.6301212
1,2023.0,Unprovoked,Swimming,M,Others,N,Morning,Other,-25.2303005,121.0187246
2,2022.0,Unprovoked,Spearfishing,M,Middle-aged Adult,N,Morning,Bull shark,-25.2303005,121.0187246
3,2021.0,Unprovoked,Surfing,M,Young Adult,N,Other,Other,27.7567667,-81.4639835
4,2021.0,Unprovoked,Swimming,M,Others,N,Noon,Other,27.7567667,-81.4639835
5,2021.0,Unprovoked,Swimming,M,Young Adult,N,Other,5' shark,33.6874388,-80.4363743
6,2021.0,Unprovoked,Surfing,M,Teenager,N,Noon,Other,19.593801499999998,-155.42837009716908
7,2021.0,Unprovoked,Spearfishing,M,Middle-aged Adult,Y,Morning,Other,18.220038199999998,-78.13312138505289
8,2021.0,Unprovoked,Other,F,Teenager,N,Morning,Other,27.7567667,-81.4639835
9,2021.0,Unprovoked,Swimming,F,Middle-aged Adult,N,Morning,Other,-25.2303005,121.0187246
10,2020.0,Unprovoked,Swimming,M,Teenager,N,Noon,Other,27.7567667,-81.4639835
11,2020.0,Unprovoked,Spearfishing,M,Senior,N,Noon,Other,-22.1646782,144.5844903
12,2020.0,Unprovoked,Snorkeling,F,Others,N,Noon,Other,17.789187,-64.7080574
13,2020.0,Unprovoked,Surfing,M,Senior,N,Morning,White shark,-38.00353045,175.95782102762962
14,2019.0,Unprovoked,Spearfishing,M,Young Adult,Y,Noon,Other,-10.0,148.0
15,2019.0,Provoked,Other,M,Child,N,Other,Other,-17.533306000000003,-149.83860061183017
16,2019.0,Unprovoked,Surfing,F,Young Adult,N,Noon,Other,27.7567667,-81.4639835
17,2019.0,Unprovoked,Other,M,Middle-aged Adult,N,Other,Other,27.7567667,-81.4639835
18,2019.0,Unprovoked,Surfing,M,Middle-aged Adult,N,Morning,Other,-31.8759835,147.2869493
19,2019.0,Invalid,Boogie boarding,F,Teenager,N,Other,Other,-43.586562,171.21232939964904
20,2018.0,Unprovoked,Surfing,F,Others,N,Other,Other,27.7567667,-81.4639835
21,2018.0,Provoked,Other,F,Child,N,Other,Other,27.0,107.0
22,2018.0,Watercraft,Other,F,Senior,N,Evening,White shark,36.7014631,-118.755997
24,2017.0,Unprovoked,Surfing,F,Teenager,N,Noon,Other,-32.2171831,26.6386401
25,2017.0,Unprovoked,Surfing,M,Teenager,N,Morning,Other,27.7567667,-81.4639835
27,2017.0,Unprovoked,Swimming,M,Senior,N,Noon,Other,-22.1646782,144.5844903
28,2016.0,Unprovoked,Snorkeling,F,Others,N,Other,Other,-25.2303005,121.0187246
29,2016.0,Unprovoked,Other,M,Middle-aged Adult,Y,Noon,Other,-20.1472512,164.12375677974939
30,2016.0,Unprovoked,Swimming,M,Others,N,Other,Other,33.6874388,-80.4363743
31,2016.0,Unprovoked,Spearfishing,M,Middle-aged Adult,N,Other,White shark,-33.546977,20.72753
32,2016.0,Unprovoked,Swimming,M,Child,N,Noon,Wobbegong shark,-31.8759835,147.2869493
33,2016.0,Unprovoked,Spearfishing,M,Young Adult,N,Morning,Other,-22.1646782,144.5844903
36,2015.0,Unprovoked,Surfing,M,Young Adult,N,Morning,Other,19.593801499999998,-155.42837009716908
37,2015.0,Unprovoked,Body boarding,M,Young Adult,N,Morning,White shark,-31.8759835,147.2869493
38,2015.0,Unprovoked,Swimming,M,Child,N,Noon,Other,27.7567667,-81.4639835
39,2015.0,Unprovoked,Surfing,M,Middle-aged Adult,N,Noon,Other,-20.9354584,55.2916763
40,2015.0,Unprovoked,Other,M,Teenager,N,Other,Other,-31.8759835,147.2869493
41,2014.0,Unprovoked,Surfing,M,Teenager,N,Other,Other,-25.2303005,121.0187246
42,2014.0,Provoked,Surfing,M,Young Adult,N,Evening,Other,-31.8759835,147.2869493
43,2014.0,Unprovoked,Other,F,Child,N,Other,Other,33.6874388,-80.4363743
44,2014.0,Unprovoked,Surfing,M,Young Adult,N,Evening,Other,36.7014631,-118.755997
45,2014.0,Unprovoked,Surfing,M,Young Adult,N,Noon,White shark,-33.546977,20.72753
46,2014.0,Unprovoked,Spearfishing,M,Middle-aged Adult,N,Noon,Other,26.3918096,-77.1370018
47,2014.0,Unprovoked,Surfing,M,Others,N,Other,Other,-31.8759835,147.2869493
48,2014.0,Provoked,Fishing,M,Others,N,Other,Other,-31.8759835,147.2869493
49,2013.0,Unprovoked,Surfing,M,Young Adult,N,Morning,Other,43.9792797,-120.737257
50,2013.0,Unprovoked,Surfing,M,Middle-aged Adult,N,Morning,Other,36.7014631,-118.755997
51,2013.0,Unprovoked,Swimming,M,Young Adult,N,Noon,Other,19.593801499999998,-155.42837009716908
53,2013.0,Unprovoked,Snorkeling,F,Others,N,Other,Other,-27.565088199999998,-48.51768842724714
54,2013.0,Unprovoked,Spearfishing,M,Senior,Y,Morning,Other,18.047173700000002,-77.03338518903325
55,2013.0,Unprovoked,Other,M,Others,N,Other,Other,11.0798978,120.93734215474105
56,2012.0,Unprovoked,Surfing,M,Teenager,N,Evening,Other,27.7567667,-81.4639835
57,2012.0,Unprovoked,Boogie boarding,F,Child,N,Evening,Other,27.7567667,-81.4639835
58,2012.0,Unprovoked,Surfing,M,Young Adult,N,Noon,Other,-25.2303005,121.0187246
59,2012.0,Provoked,Fishing,M,Young Adult,N,Noon,Other,27.7567667,-81.4639835
60,2012.0,Unprovoked,Surfing,F,Child,N,Other,Other,27.7567667,-81.4639835
61,2012.0,Provoked,Other,F,Young Adult,N,Morning,Other,-36.5986096,144.6780052
62,2012.0,Provoked,Other,M,Others,N,Noon,Other,27.7567667,-81.4639835
63,2011.0,Unprovoked,Surfing,M,Teenager,N,Morning,6' shark,27.7567667,-81.4639835
64,2011.0,Unprovoked,Surfing,M,Young Adult,N,Other,White shark,-33.546977,20.72753
65,2011.0,Unprovoked,Surf fishing,M,Middle-aged Adult,N,Other,Other,-32.2171831,26.6386401
66,2010.0,Unprovoked,Other,M,Middle-aged Adult,Y,Noon,Other,27.7567667,-81.4639835
67,2009.0,Unprovoked,Wading,M,Young Adult,N,Morning,Other,-32.2171831,26.6386401
68,2009.0,Unprovoked,Spearfishing,M,Teenager,N,Morning,Other,-22.1646782,144.5844903
69,2009.0,Unprovoked,Spearfishing,M,Others,N,Other,Other,-22.779116,34.5661741
70,2009.0,Unprovoked,Surfing,M,Young Adult,Y,Noon,White shark,-33.546977,20.72753
71,2009.0,Unprovoked,Other,M,Others,Y,Other,Other,-4.05052,39.667169
72,2009.0,Unprovoked,Other,M,Others,N,Morning,5' shark,36.7014631,-118.755997
73,2009.0,Unprovoked,Surfing,M,Others,N,Morning,Other,36.7014631,-118.755997
75,2008.0,Unprovoked,Surfing,M,Young Adult,N,Morning,Other,-36.5986096,144.6780052
76,2008.0,Unprovoked,Surfing,M,Teenager,N,Other,Other,-8.4116316,-37.5919699
78,2008.0,Unprovoked,Surfing,M,Young Adult,N,Morning,White shark,36.7014631,-118.755997
80,2007.0,Unprovoked,Surfing,M,Young Adult,N,Morning,Other,-31.8759835,147.2869493
81,2007.0,Unprovoked,Surfing,F,Others,N,Other,4' shark,27.7567667,-81.4639835
82,2007.0,Unprovoked,Surfing,M,Young Adult,N,Other,3' shark,27.7567667,-81.4639835
83,2007.0,Unprovoked,Swimming,M,Senior,N,Morning,Other,27.7567667,-81.4639835
86,2005.0,Unprovoked,Surfing,M,Young Adult,N,Morning,Other,-32.2171831,26.6386401
87,2005.0,Unprovoked,Scuba diving,M,Young Adult,Y,Noon,White shark,-30.5343665,135.6301212
88,2005.0,Unprovoked,Snorkeling,M,Young Adult,Y,Noon,Other,-25.2303005,121.0187246
89,2005.0,Unprovoked,Swimming,M,Teenager,N,Other,Bull shark,-22.1646782,144.5844903
90,2002.0,Unprovoked,Surfing,M,Teenager,N,Noon,Other,27.7567667,-81.4639835
91,2001.0,Provoked,Spearfishing,M,Middle-aged Adult,N,Morning,Other,36.7014631,-118.755997
93,2000.0,Unprovoked,Surfing,F,Young Adult,N,Noon,Other,27.7567667,-81.4639835
94,2000.0,Unprovoked,Surfing,M,Young Adult,N,Evening,Other,-21.341298,55.4776174
95,2000.0,Unprovoked,Swimming,M,Middle-aged Adult,N,Noon,Other,27.7567667,-81.4639835
96,2000.0,Unprovoked,Other,M,Young Adult,N,Noon,Other,27.7567667,-81.4639835
98,2000.0,Unprovoked,Surfing,M,Teenager,N,Other,Other,35.6729639,-79.0392919
99,2000.0,Unprovoked,Spearfishing,M,Young Adult,Y,Other,Other,-20.1472512,164.12375677974939
100,2000.0,Provoked,Other,M,Others,N,Other,Other,52.2109495,-2.156955513242221
101,2000.0,Unprovoked,Diving,M,Young Adult,Y,Other,Other,8.5058295,98.5680335
102,1999.0,Unprovoked,Body surfing,M,Teenager,N,Noon,Other,27.7567667,-81.4639835
103,1998.0,Unprovoked,Surfing,M,Others,N,Other,Other,27.7567667,-81.4639835
104,1998.0,Unprovoked,Swimming,F,Teenager,N,Noon,Other,27.7567667,-81.4639835
105,1996.0,Unprovoked,Standing,M,Child,N,Evening,Other,27.7567667,-81.4639835
106,1996.0,Unprovoked,Other,M,Young Adult,Y,Morning,Other,35.6518079,139.73243752018243
107,1995.0,Unprovoked,Other,M,Others,N,Other,Other,-22.1646782,144.5844903
108,1995.0,Unprovoked,Boogie boarding,M,Teenager,N,Other,Other,27.7567667,-81.4639835
110,1995.0,Unprovoked,Other,M,Teenager,N,Other,Other,32.3293809,-83.1137366
111,1995.0,Provoked,Snorkeling,M,Others,N,Other,Other,-22.1646782,144.5844903
114,1993.0,Unprovoked,Surfing,M,Others,Y,Other,Other,19.593801499999998,-155.42837009716908
116,1993.0,Unprovoked,Body boarding,M,Teenager,N,Other,Other,-21.0006099,55.2771585
117,1993.0,Unprovoked,Surfing,M,Others,N,Other,Other,-8.4116316,-37.5919699
118,1993.0,Unprovoked,Other,M,Young Adult,N,Noon,Other,27.7567667,-81.4639835
119,1992.0,Unprovoked,Surfing,M,Young Adult,N,Evening,Other,43.9792797,-120.737257
120,1992.0,Unprovoked,Swimming,M,Others,Y,Other,Other,-8.4116316,-37.5919699
121,1992.0,Unprovoked,Fishing,M,Others,N,Other,Other,52.0532871,4.5425013
122,1991.0,Provoked,Fishing,M,Others,N,Noon,Other,27.7567667,-81.4639835
123,1991.0,Unprovoked,Surfing,M,Young Adult,N,Morning,Other,36.7014631,-118.755997
124,1990.0,Unprovoked,Surfing,M,Teenager,N,Noon,Other,27.7567667,-81.4639835
125,1990.0,Unprovoked,Surfing,M,Middle-aged Adult,N,Noon,Other,19.593801499999998,-155.42837009716908
126,1989.0,Unprovoked,Other,M,Others,N,Other,Other,19.593801499999998,-155.42837009716908
128,1986.0,Unprovoked,Swimming,F,Child,N,Evening,Other,27.7567667,-81.4639835
129,1985.0,Provoked,Spearfishing,M,Middle-aged Adult,N,Other,Other,-28.503833,30.8875009
130,1985.0,Unprovoked,Other,M,Young Adult,N,Noon,Other,36.7014631,-118.755997
131,1985.0,Unprovoked,Surfing,M,Teenager,N,Evening,Other,-28.503833,30.8875009
133,1984.0,Unprovoked,Other,M,Young Adult,N,Noon,Other,43.9792797,-120.737257
134,1984.0,Provoked,Spearfishing,M,Others,N,Evening,Other,30.0338923,-115.1425107
135,1984.0,Unprovoked,Other,F,Teenager,Y,Other,Other,-28.503833,30.8875009
136,1984.0,Provoked,Other,M,Others,N,Other,Other,36.7014631,-118.755997
137,1983.0,Unprovoked,Swimming,M,Middle-aged Adult,N,Morning,Other,-32.2171831,26.6386401
138,1982.0,Unprovoked,Other,M,Others,N,Other,Other,33.6874388,-80.4363743
141,1980.0,Unprovoked,Surfing,M,Teenager,N,Morning,Other,36.7014631,-118.755997
142,1978.0,Unprovoked,Surfing,M,Teenager,N,Other,Other,27.7567667,-81.4639835
145,1975.0,Unprovoked,Surfing,M,Young Adult,N,Other,Other,27.7567667,-81.4639835
146,1975.0,Unprovoked,Surfing,M,Teenager,Y,Other,Other,-30.5343665,135.6301212
147,1974.0,Unprovoked,Other,M,Middle-aged Adult,N,Evening,Other,36.7014631,-118.755997
148,1974.0,Unprovoked,Spearfishing,M,Others,N,Other,Other,-25.2303005,121.0187246
149,1973.0,Provoked,Other,M,Others,N,Other,Other,-28.503833,30.8875009
150,1973.0,Unprovoked,Surfing,M,Others,N,Other,Other,19.593801499999998,-155.42837009716908
153,1971.0,Unprovoked,Surfing,M,Young Adult,N,Noon,Other,-33.546977,20.72753
154,1970.0,Unprovoked,Swimming,M,Teenager,N,Other,Other,-22.431133,31.3441915
155,1970.0,Unprovoked,Spearfishing,M,Others,N,Other,Other,28.286398900000002,-16.796011808910734
157,1968.0,Unprovoked,Swimming,M,Child,Y,Other,Other,-7.5556411,144.8850036
159,1964.0,Unprovoked,Swimming,M,Young Adult,N,Noon,1.8 m [6'] shark,25.2071597,121.659678
161,1962.0,Watercraft,Other,M,Others,N,Other,Other,36.9279654,30.7276865
162,1962.0,Unprovoked,Other,M,Young Adult,Y,Other,Other,36.7014631,-118.755997
163,1962.0,Unprovoked,Standing,M,Teenager,N,Noon,Other,33.6874388,-80.4363743
168,1961.0,Unprovoked,Other,M,Teenager,N,Noon,1.8 m [6'] shark,-10.416667,142.166667
169,1971.0,Unprovoked,Swimming,M,Teenager,N,Other,Other,39.0,32.0
171,1960.0,Unprovoked,Other,M,Young Adult,N,Evening,Other,40.0757384,-74.4041622
173,1960.0,Provoked,Other,M,Others,N,Other,Other,-25.2303005,121.0187246
175,1960.0,Provoked,Fishing,M,Others,N,Other,Other,12.5843798,-15.8842184
176,1960.0,Provoked,Spearfishing,M,Young Adult,N,Other,Other,-31.8759835,147.2869493
177,1958.0,Unprovoked,Other,M,Young Adult,Y,Morning,Tiger shark,-14.306479150000001,-170.75973867367094
179,1957.0,Unprovoked,Spearfishing,M,Others,N,Other,Other,-17.793383050000003,177.9782252066411
180,1956.0,Unprovoked,Fishing,M,Others,Y,Other,Other,-33.8721933,151.2058573
181,1956.0,Provoked,Other,M,Teenager,Y,Morning,Other,18.2247706,-66.4858295
182,1954.0,Unprovoked,Swimming,M,Young Adult,Y,Morning,Other,-36.5986096,144.6780052
183,1954.0,Unprovoked,Other,M,Young Adult,N,Other,Other,-5.0,145.5
184,1953.0,Unprovoked,Surf skiing,M,Others,N,Other,Other,-31.8759835,147.2869493
185,1953.0,Unprovoked,Scuba diving,M,Others,N,Other,Other,36.7014631,-118.755997
186,1953.0,Unprovoked,Spearfishing,M,Teenager,Y,Morning,Other,19.593801499999998,-155.42837009716908
188,1953.0,Unprovoked,Spearfishing,M,Others,N,Other,Wobbegong shark,-35.29652355,149.12957364767345
190,1952.0,Provoked,Fishing,M,Middle-aged Adult,N,Other,Other,33.6874388,-80.4363743
191,1952.0,Provoked,Fishing,M,Young Adult,N,Other,Other,33.6874388,-80.4363743
192,1951.0,Unprovoked,Treading water,M,Young Adult,N,Evening,Other,-28.503833,30.8875009
194,1949.0,Unprovoked,Other,M,Middle-aged Adult,N,Other,6' shark,-31.8759835,147.2869493
195,1949.0,Unprovoked,Other,M,Others,N,Other,Other,-3.0,151.5
196,1949.0,Unprovoked,Spearfishing,M,Teenager,Y,Other,Other,-5.994921,154.9966955
197,1948.0,Unprovoked,Fishing,M,Others,N,Other,Other,-22.1646782,144.5844903
198,1948.0,Unprovoked,Other,M,Others,N,Other,Other,-6.7015456,146.94296573373364
199,1947.0,Unprovoked,Swimming,M,Young Adult,Y,Other,Other,27.7567667,-81.4639835
200,1946.0,Unprovoked,Fishing,M,Others,Y,Other,Other,9.1257934,167.5740472
202,1945.0,Unprovoked,Swimming,M,Others,Y,Other,Other,35.6729639,-79.0392919
204,1942.0,Provoked,Surf-skiing,M,Others,N,Other,Other,-31.8759835,147.2869493
205,1938.0,Provoked,Other,M,Teenager,N,Other,Other,-28.503833,30.8875009
208,1928.0,Unprovoked,Swimming,M,Others,N,Other,Other,27.7567667,-81.4639835
210,1928.0,Unprovoked,Standing,M,Young Adult,N,Morning,Other,-28.503833,30.8875009
211,1926.0,Unprovoked,Other,M,Teenager,N,Other,Other,36.7014631,-118.755997
213,1925.0,Unprovoked,Swimming,M,Teenager,Y,Noon,Other,-31.8759835,147.2869493
214,1923.0,Unprovoked,Swimming,M,Teenager,Y,Other,Other,-25.2303005,121.0187246
215,1922.0,Provoked,Other,M,Others,N,Other,Other,40.0757384,-74.4041622
216,1922.0,Unprovoked,Bathing,F,Others,Y,Other,Other,18.2247706,-66.4858295
217,1920.0,Unprovoked,Wading,M,Others,N,Other,4' to 5' shark,-25.2303005,121.0187246
218,1920.0,Unprovoked,Free diving,M,Others,Y,Other,Other,-10.416667,142.166667
219,1920.0,Unprovoked,Other,M,Child,N,Other,Other,-28.503833,30.8875009
220,1915.0,Unprovoked,Bathing,M,Teenager,Y,Other,Other,-31.8759835,147.2869493
222,1912.0,Sea Disaster,Other,F,Teenager,Y,Other,Other,14.574348,121.0585012
224,1908.0,Sea Disaster,Other,F,Others,Y,Other,Other,-6.71150765,110.63371366935611
227,1899.0,Unprovoked,Other,M,Others,N,Other,1.5 m [5'] shark,27.7567667,-81.4639835
229,1896.0,Unprovoked,Bathing,M,Young Adult,Y,Other,Other,-38.00353045,175.95782102762962
230,1895.0,Unprovoked,Swimming,M,Others,N,Other,Other,-43.586562,171.21232939964904
231,1889.0,Unprovoked,Swimming,M,Others,Y,Other,Other,27.7567667,-81.4639835
232,1886.0,Watercraft,Other,M,Others,N,Other,Other,40.0757384,-74.4041622
233,1883.0,Provoked,Other,M,Others,N,Other,Other,35.8354769,128.591055
236,1879.0,Unprovoked,Bathing,M,Others,N,Other,Other,36.7014631,-118.755997
237,1863.0,Unprovoked,Bathing,M,Others,N,Other,Other,33.6874388,-80.4363743
238,1852.0,Unprovoked,Swimming,M,Others,Y,Other,Other,-38.00353045,175.95782102762962
239,1849.0,Unprovoked,Bathing,M,Others,Y,Other,Other,-31.8759835,147.2869493
240,1849.0,Unprovoked,Swimming,M,Others,Y,Other,Other,-36.5986096,144.6780052
241,1845.0,Unprovoked,Fell overboard,M,Others,Y,Other,Other,27.7567667,-81.4639835
242,1845.0,Unprovoked,Other,M,Others,Y,Other,Other,-33.865266,151.2097316
244,1842.0,Unprovoked,Other,M,Others,Y,Other,Other,10.9094334,78.3665347
245,1826.0,Unprovoked,Other,M,Others,N,Other,Other,-7.1219366,-36.7246845
246,1815.0,Unprovoked,Bathing,M,Others,Y,Other,Other,35.4666707,139.6160622
248,1972.0,Unprovoked,Canoeing,M,Others,Y,Other,Other,27.7567667,-81.4639835
249,1972.0,Sea Disaster,Other,M,Others,N,Other,Other,-5.0,145.5
250,1972.0,Unprovoked,Fishing,M,Others,Y,Other,Other,-28.503833,30.8875009
251,2023.0,Unprovoked,Surfing,M,Young Adult,N,Noon,Other,27.7567667,-81.4639835
252,2023.0,Questionable,Other,M,Teenager,Y,Other,Other,26.661223200000002,-78.26845128704834
253,2023.0,Provoked,Fishing,M,Young Adult,N,Evening,Other,27.7567667,-81.4639835
254,2022.0,Unprovoked,Snorkeling,F,Senior,Y,Noon,Tiger shark,19.593801499999998,-155.42837009716908
255,2022.0,Unprovoked,Snorkeling,M,Middle-aged Adult,N,Other,Other,19.593801499999998,-155.42837009716908
256,2022.0,Unprovoked,Snorkeling,F,Others,Y,Other,Other,27.222556,33.8307062
258,2021.0,Unprovoked,Surfing,M,Senior,N,Other,Other,32.3293809,-83.1137366
259,2021.0,Unprovoked,Swimming,M,Middle-aged Adult,N,Other,Other,27.7567667,-81.4639835
260,2021.0,Unprovoked,Swimming,M,Child,N,Other,Other,27.7567667,-81.4639835
261,2021.0,Unprovoked,Spearfishing,M,Teenager,N,Other,Tiger shark,-20.9328607,167.16578476651785
262,2021.0,Unprovoked,Swimming,M,Middle-aged Adult,N,Morning,Other,-25.2303005,121.0187246
263,2021.0,Unprovoked,Surfing,M,Teenager,N,Morning,Other,27.7567667,-81.4639835
265,2020.0,Unprovoked,Snorkeling,F,Senior,N,Noon,Other,19.593801499999998,-155.42837009716908
266,2020.0,Unprovoked,Surf skiing,F,Others,N,Noon,Other,-28.503833,30.8875009
267,2020.0,Unprovoked,Swimming,F,Senior,N,Noon,Other,36.7014631,-118.755997
268,2020.0,Unprovoked,Swimming,M,Young Adult,Y,Evening,Other,-22.1646782,144.5844903
269,2020.0,Unprovoked,Surfing,F,Teenager,N,Evening,Other,-45.92542665,167.60684826776085
270,2020.0,Unprovoked,Other,M,Child,N,Other,Other,-22.3535326,-42.58707
271,2019.0,Unprovoked,Other,M,Senior,N,Morning,Other,19.593801499999998,-155.42837009716908
272,2019.0,Unprovoked,Wading,M,Child,N,Morning,Other,27.7567667,-81.4639835
273,2019.0,Unprovoked,Fishing,M,Others,N,Evening,Other,27.7567667,-81.4639835
274,2019.0,Watercraft,Other,M,Senior,N,Morning,Other,19.593801499999998,-155.42837009716908
275,2019.0,Unprovoked,Surfing,M,Others,N,Noon,Tiger shark,19.593801499999998,-155.42837009716908
276,2018.0,Unprovoked,Diving,M,Others,N,Other,Other,-20.35569395,-40.28820017262445
277,2018.0,Provoked,Wading,F,Senior,N,Noon,Other,36.7014631,-118.755997
278,2017.0,Unprovoked,Surfing,M,Young Adult,N,Morning,Other,-31.8759835,147.2869493
279,2017.0,Unprovoked,Snorkeling,F,Middle-aged Adult,N,Noon,Other,19.593801499999998,-155.42837009716908
281,2016.0,Unprovoked,Surfing,M,Young Adult,N,Evening,Other,-22.50522865,-55.7307551413271
282,2016.0,Unprovoked,Swimming,M,Middle-aged Adult,N,Morning,Other,38.36569095,-0.7485500851537236
283,2016.0,Watercraft,Other,M,Others,N,Other,White shark,-25.2303005,121.0187246
284,2016.0,Unprovoked,Swimming,F,Middle-aged Adult,N,Noon,Other,36.7014631,-118.755997
285,2015.0,Unprovoked,Wading,M,Teenager,N,Morning,4' to 5' shark,31.2638905,-98.5456116
287,2015.0,Unprovoked,Surfing,M,Middle-aged Adult,N,Other,Other,-22.50522865,-55.7307551413271
288,2015.0,Unprovoked,Surf skiing,M,Senior,N,Morning,Other,-31.8759835,147.2869493
290,2014.0,Unprovoked,Other,F,Others,N,Morning,Tiger shark,19.593801499999998,-155.42837009716908
293,2014.0,Unprovoked,Wading,M,Young Adult,N,Morning,Other,27.7567667,-81.4639835
294,2014.0,Unprovoked,Swimming,F,Senior,Y,Morning,Other,-31.8759835,147.2869493
295,2013.0,Unprovoked,Body boarding,M,Teenager,N,Other,Other,40.0757384,-74.4041622
296,2013.0,Unprovoked,Other,M,Middle-aged Adult,N,Noon,Tiger shark,19.593801499999998,-155.42837009716908
297,2013.0,Provoked,Surfing,M,Middle-aged Adult,N,Noon,3' shark,27.7567667,-81.4639835
298,2013.0,Unprovoked,Snorkeling,F,Senior,N,Morning,Other,19.593801499999998,-155.42837009716908
299,2013.0,Unprovoked,Fishing,M,Others,N,Other,Other,22.7553667,121.1506
300,2013.0,Watercraft,Other,M,Others,N,Noon,White shark,36.7014631,-118.755997
301,2013.0,Unprovoked,Scuba diving,M,Middle-aged Adult,N,Morning,Other,-17.68734395,-149.44516811423745
302,2012.0,Unprovoked,Surf skiing,M,Senior,N,Morning,Other,-25.2303005,121.0187246
303,2011.0,Unprovoked,Surfing,M,Young Adult,N,Other,Other,-8.4116316,-37.5919699
304,2011.0,Unprovoked,Other,M,Others,N,Other,Other,40.0757384,-74.4041622
305,2011.0,Unprovoked,Scuba diving,M,Young Adult,N,Noon,Other,-28.503833,30.8875009
306,2011.0,Unprovoked,Body surfing,M,Senior,N,Noon,Other,27.7567667,-81.4639835
307,2011.0,Unprovoked,Surfing,M,Middle-aged Adult,N,Morning,Other,27.7567667,-81.4639835
308,2011.0,Unprovoked,Surfing,M,Teenager,Y,Noon,Other,-32.2171831,26.6386401
309,2010.0,Unprovoked,Diving,M,Young Adult,Y,Other,Other,-34.056075,150.7652688
310,2010.0,Unprovoked,Spearfishing,M,Others,N,Other,Other,-25.2303005,121.0187246
311,2010.0,Provoked,Fishing,M,Young Adult,N,Noon,Other,40.7127281,-74.0060152
312,2010.0,Unprovoked,Scuba diving,M,Senior,N,Morning,Other,-13.7229722,49.1801836
313,2010.0,Unprovoked,Surfing,M,Others,N,Morning,Other,-32.2171831,26.6386401
314,2009.0,Unprovoked,Swimming,M,Young Adult,N,Noon,Other,-25.5445167,32.4578753
315,2009.0,Unprovoked,Other,M,Young Adult,Y,Other,Other,-43.586562,171.21232939964904
316,2009.0,Watercraft,Kayaking,M,Young Adult,N,Other,Other,-36.5986096,144.6780052
317,2009.0,Unprovoked,Surfing,M,Middle-aged Adult,N,Morning,Other,19.593801499999998,-155.42837009716908
318,2009.0,Unprovoked,Swimming,F,Teenager,N,Noon,Other,27.7567667,-81.4639835
319,2009.0,Unprovoked,Other,F,Others,N,Other,Other,2.830645,101.0398759
320,2009.0,Unprovoked,Swimming,M,Senior,N,Evening,Other,19.593801499999998,-155.42837009716908
322,2008.0,Provoked,Fishing,M,Middle-aged Adult,N,Other,Other,-19.8516101,133.2303375
323,2008.0,Unprovoked,Surfing,M,Middle-aged Adult,N,Morning,Other,27.7567667,-81.4639835
324,2008.0,Unprovoked,Other,M,Young Adult,N,Noon,Other,27.7567667,-81.4639835
325,2008.0,Unprovoked,Wading,F,Teenager,N,Noon,Other,27.7567667,-81.4639835
329,2007.0,Unprovoked,Surfing,M,Young Adult,N,Noon,3' shark,27.7567667,-81.4639835
331,2006.0,Unprovoked,Body boarding,M,Young Adult,N,Evening,Other,-21.0548416,55.2248423
332,2006.0,Unprovoked,Surf-skiing,M,Teenager,N,Noon,Other,-33.546977,20.72753
333,2006.0,Unprovoked,Playing,F,Child,N,Noon,Other,33.6874388,-80.4363743
334,2006.0,Unprovoked,Body boarding,M,Teenager,N,Evening,Other,-32.2171831,26.6386401
335,2006.0,Unprovoked,Other,M,Others,N,Night,Other,36.7014631,-118.755997
336,2005.0,Unprovoked,Surf-skiing,M,Middle-aged Adult,N,Noon,White shark,-33.546977,20.72753
337,2005.0,Unprovoked,Surfing,M,Middle-aged Adult,N,Morning,Other,36.7014631,-118.755997
338,2005.0,Unprovoked,Other,F,Teenager,N,Noon,Other,31.2638905,-98.5456116
339,2005.0,Unprovoked,Spearfishing,M,Young Adult,N,Other,Other,-19.8516101,133.2303375
340,2005.0,Unprovoked,Surfing,M,Others,N,Noon,Other,19.593801499999998,-155.42837009716908
342,2004.0,Unprovoked,Spearfishing,M,Young Adult,N,Noon,Other,-31.8759835,147.2869493
343,2004.0,Unprovoked,Other,M,Young Adult,N,Noon,Other,31.2638905,-98.5456116
344,2004.0,Unprovoked,Surfing,M,Young Adult,N,Morning,Other,27.7567667,-81.4639835
347,2003.0,Unprovoked,Surfing,M,Child,N,Morning,Other,27.7567667,-81.4639835
349,2002.0,Unprovoked,Snorkeling,M,Middle-aged Adult,N,Other,Other,27.7567667,-81.4639835
350,2001.0,Unprovoked,Other,M,Teenager,N,Evening,Other,27.7567667,-81.4639835
351,2001.0,Unprovoked,Surfing,M,Teenager,N,Noon,Other,27.7567667,-81.4639835
352,2001.0,Watercraft,Kayaking,M,Others,N,Other,White shark,-38.00353045,175.95782102762962
353,2000.0,Unprovoked,Surfing,M,Middle-aged Adult,N,Noon,1.2 m [4'] shark,27.7567667,-81.4639835
354,1999.0,Unprovoked,Surfing,M,Young Adult,N,Other,Other,-28.503833,30.8875009
355,1999.0,Unprovoked,Other,M,Young Adult,N,Evening,Other,27.7567667,-81.4639835
356,1999.0,Unprovoked,Other,M,Young Adult,N,Evening,Other,26.3918096,-77.1370018
357,1999.0,Unprovoked,Surfing,M,Middle-aged Adult,N,Noon,Other,-33.546977,20.72753
