,year,type,activity,sex,age,fatal_y_n,time,species,latitude,longitude
6179,2015.0,Unprovoked,Other,M,Senior,Y,Other,Other,52.0521314,4.5340129
6180,2015.0,Unprovoked,Surfing,M,Teenager,N,Noon,Other,-25.2303005,121.0187246
6181,2015.0,Watercraft,Other,M,Others,N,Morning,Other,36.7014631,-118.755997
6182,2015.0,Unprovoked,Swimming,M,Others,N,Evening,Other,27.7567667,-81.4639835
6183,2015.0,Unprovoked,Swimming,M,Senior,N,Noon,Other,35.6729639,-79.0392919
6184,2015.0,Unprovoked,Wading,F,Child,N,Noon,Bull shark,35.6729639,-79.0392919
6185,2014.0,Unprovoked,Standing,M,Others,N,Morning,Other,27.7567667,-81.4639835
6186,2014.0,Unprovoked,Swimming,M,Middle-aged Adult,N,Noon,4' shark,27.7567667,-81.4639835
6187,2014.0,Unprovoked,Surfing,M,Young Adult,N,Morning,Other,-30.5343665,135.6301212
6189,2013.0,Unprovoked,Surfing,M,Child,N,Evening,Other,33.6874388,-80.4363743
6190,2013.0,Unprovoked,Fishing,M,Middle-aged Adult,N,Noon,Other,-31.8759835,147.2869493
6191,2013.0,Provoked,Other,M,Young Adult,N,Morning,Other,-33.546977,20.72753
6192,2013.0,Unprovoked,Surfing,M,Others,N,Other,Other,-22.1646782,144.5844903
6194,2011.0,Unprovoked,Other,F,Middle-aged Adult,N,Evening,Other,31.2638905,-98.5456116
6195,2011.0,Unprovoked,Swimming,M,Middle-aged Adult,N,Noon,Other,35.6729639,-79.0392919
6196,2011.0,Unprovoked,Surfing,M,Teenager,N,Noon,Other,-21.0548416,55.2248423
6197,2011.0,Unprovoked,Surfing,M,Teenager,Y,Noon,Other,10.378844050000001,-85.43382874573226
6198,2011.0,Unprovoked,Surfing,F,Others,N,Noon,Other,19.593801499999998,-155.42837009716908
6199,2011.0,Provoked,Fishing,M,Others,N,Other,Other,27.7567667,-81.4639835
6200,2011.0,Unprovoked,Swimming,M,Middle-aged Adult,N,Other,Other,19.6666671,-88.5000001
6201,2010.0,Unprovoked,Surfing,M,Young Adult,Y,Morning,White shark,-25.2303005,121.0187246
6202,2010.0,Unprovoked,Boogie Boarding,F,Teenager,N,Noon,4' shark,27.7567667,-81.4639835
6203,2009.0,Unprovoked,Surfing,M,Teenager,N,Evening,Other,-31.8759835,147.2869493
6204,2009.0,Unprovoked,Surfing,F,Others,N,Morning,Other,-31.8759835,147.2869493
6205,2009.0,Watercraft,Fishing,M,Others,N,Other,Other,-38.00353045,175.95782102762962
6206,2008.0,Unprovoked,Spearfishing,M,Young Adult,N,Morning,Other,-22.3535326,-42.58707
6207,2008.0,Unprovoked,Surfing,M,Teenager,N,Noon,Other,-31.8759835,147.2869493
6208,2008.0,Unprovoked,Surfing,M,Middle-aged Adult,N,Morning,Other,27.7567667,-81.4639835
6210,2008.0,Unprovoked,Surf skiing,M,Middle-aged Adult,N,Noon,Other,-33.546977,20.72753
6211,2008.0,Unprovoked,Surfing,F,Teenager,N,Other,Other,-31.8759835,147.2869493
6213,2007.0,Unprovoked,Spearfishing,M,Young Adult,N,Noon,Other,-22.1646782,144.5844903
6214,2007.0,Unprovoked,Surfing,M,Middle-aged Adult,N,Noon,3' shark,27.7567667,-81.4639835
6215,2007.0,Unprovoked,Snorkeling,M,Others,N,Other,Other,-3.718812,55.20629635188557
6216,2007.0,Unprovoked,Other,F,Teenager,N,Evening,Other,-22.1646782,144.5844903
6217,2006.0,Unprovoked,Body boarding,M,Young Adult,Y,Morning,Other,-8.4116316,-37.5919699
6218,2006.0,Unprovoked,Scuba diving,M,Middle-aged Adult,N,Morning,Other,36.7014631,-118.755997
6219,2005.0,Unprovoked,Surfing,M,Young Adult,N,Other,Other,-31.8759835,147.2869493
6220,2005.0,Unprovoked,Surfing,M,Teenager,Y,Noon,Other,33.6874388,-80.4363743
6223,2005.0,Unprovoked,Surfing,M,Middle-aged Adult,N,Morning,Other,-31.8759835,147.2869493
6224,2004.0,Unprovoked,Surfing,M,Others,N,Morning,Other,36.7014631,-118.755997
6227,2003.0,Provoked,Surfing,M,Young Adult,N,Noon,Other,27.7567667,-81.4639835
6229,2002.0,Provoked,Other,M,Middle-aged Adult,Y,Other,Other,39.5162401,-76.9382069
6230,2002.0,Unprovoked,Other,M,Young Adult,Y,Noon,Other,-30.5343665,135.6301212
